               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.035687,            0.055977,            0.013382,             0.70871,             0.58267,             0.63079,             0.44199,            0.036695,            0.046447,            0.014003,           0.0033329,           0.0033329,            0.070004
                   1,            0.040004,            0.061703,            0.018208,             0.68951,             0.55982,             0.60909,             0.41739,            0.037736,             0.04696,            0.015084,           0.0064462,           0.0064462,            0.039784
                   2,            0.044773,            0.067132,            0.023987,             0.66603,             0.55633,             0.59611,             0.40756,            0.038466,            0.047755,            0.015582,           0.0093396,           0.0093396,           0.0093441
                   3,            0.045522,            0.067811,            0.024427,              0.6972,             0.55112,             0.60682,             0.41606,            0.038049,            0.047288,            0.014931,             0.00901,             0.00901,             0.00901
                   4,            0.044282,            0.066231,            0.022464,             0.68073,             0.57181,             0.61769,             0.42578,            0.037536,             0.04686,            0.014315,             0.00901,             0.00901,             0.00901
                   5,             0.04352,            0.065336,            0.021483,             0.69729,             0.57101,             0.62325,             0.43196,            0.037243,             0.04667,            0.014007,             0.00868,             0.00868,             0.00868
                   6,            0.043037,            0.064925,            0.020697,             0.70252,             0.57643,             0.62818,             0.43661,            0.037032,            0.046492,            0.013763,             0.00835,             0.00835,             0.00835
                   7,            0.042596,            0.064267,            0.020222,             0.70745,             0.57995,             0.63383,             0.44109,            0.036869,            0.046362,            0.013591,             0.00802,             0.00802,             0.00802
                   8,            0.042326,            0.063944,            0.019806,             0.68952,             0.59326,              0.6356,              0.4431,            0.036752,            0.046281,            0.013472,             0.00769,             0.00769,             0.00769
                   9,            0.041974,            0.063503,              0.0194,             0.70226,             0.58589,             0.63733,             0.44437,            0.036656,            0.046209,            0.013363,             0.00736,             0.00736,             0.00736
                  10,            0.041719,             0.06334,            0.019031,                0.71,             0.58239,              0.6393,              0.4466,            0.036568,            0.046143,            0.013246,             0.00703,             0.00703,             0.00703
                  11,            0.041518,            0.063079,            0.018793,             0.72061,             0.57914,             0.64062,             0.44773,            0.036494,             0.04607,            0.013146,              0.0067,              0.0067,              0.0067
                  12,            0.041277,            0.063008,            0.018411,             0.72222,             0.58047,             0.64244,             0.44964,            0.036427,            0.045989,             0.01306,             0.00637,             0.00637,             0.00637
                  13,            0.041016,            0.062702,            0.018168,             0.71854,             0.58407,             0.64296,             0.45121,             0.03636,            0.045909,             0.01298,             0.00604,             0.00604,             0.00604
                  14,            0.040801,            0.062296,            0.017901,             0.70298,             0.59349,             0.64503,             0.45296,            0.036289,            0.045838,            0.012892,             0.00571,             0.00571,             0.00571
                  15,             0.04054,            0.061956,            0.017556,             0.70246,             0.59466,             0.64582,             0.45417,            0.036226,            0.045768,            0.012813,             0.00538,             0.00538,             0.00538
                  16,            0.040299,            0.061777,            0.017312,             0.67827,             0.61255,             0.64687,             0.45493,            0.036164,            0.045717,            0.012741,             0.00505,             0.00505,             0.00505
                  17,            0.040058,            0.061259,            0.016958,             0.69571,             0.60245,             0.64782,             0.45583,            0.036108,            0.045655,            0.012687,             0.00472,             0.00472,             0.00472
                  18,            0.039761,            0.060899,            0.016599,             0.70985,             0.59446,             0.64913,             0.45722,            0.036064,            0.045578,            0.012617,             0.00439,             0.00439,             0.00439
                  19,            0.039513,            0.060747,            0.016272,             0.72566,             0.58728,             0.65006,              0.4577,            0.036014,            0.045506,            0.012549,             0.00406,             0.00406,             0.00406
                  20,            0.039167,            0.060152,            0.015945,              0.7192,             0.59269,             0.65126,              0.4588,            0.035955,            0.045438,            0.012486,             0.00373,             0.00373,             0.00373
                  21,            0.038821,            0.059671,            0.015551,             0.72534,             0.59177,             0.65294,             0.46034,            0.035905,            0.045369,            0.012432,              0.0034,              0.0034,              0.0034
                  22,            0.038509,            0.059503,            0.015119,              0.7203,             0.59658,             0.65454,             0.46172,            0.035856,            0.045306,            0.012376,             0.00307,             0.00307,             0.00307
                  23,             0.03815,            0.058809,            0.014719,             0.71679,             0.60102,             0.65542,             0.46296,            0.035808,            0.045251,            0.012328,             0.00274,             0.00274,             0.00274
                  24,            0.037746,            0.058477,            0.014331,             0.71137,             0.60655,             0.65623,             0.46402,            0.035755,            0.045203,            0.012288,             0.00241,             0.00241,             0.00241
                  25,            0.037328,             0.05768,            0.013817,             0.71517,             0.60599,             0.65686,             0.46479,            0.035711,            0.045148,            0.012262,             0.00208,             0.00208,             0.00208
                  26,            0.036796,            0.057085,            0.013441,             0.71402,             0.60778,             0.65738,             0.46582,            0.035672,            0.045102,            0.012228,             0.00175,             0.00175,             0.00175
                  27,            0.036386,             0.05657,            0.012924,             0.71419,              0.6109,             0.65828,             0.46729,            0.035635,            0.045076,            0.012189,             0.00142,             0.00142,             0.00142
                  28,            0.035903,             0.05571,            0.012418,              0.7187,             0.60502,             0.65847,             0.46807,            0.035612,             0.04505,            0.012157,             0.00109,             0.00109,             0.00109
                  29,            0.035374,            0.055007,            0.011942,             0.71346,             0.60943,             0.65872,             0.46862,              0.0356,            0.045052,            0.012124,             0.00076,             0.00076,             0.00076
                  29,            0.035374,            0.055007,            0.011942,             0.71588,             0.60432,             0.66195,               0.478,              0.0356,            0.045055,            0.012124,             0.00076,             0.00076,             0.00076
