               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.073296,            0.046029,             0.02937,             0.44797,             0.41029,             0.26445,             0.11271,            0.055749,            0.052893,            0.018144,           0.0033244,           0.0033244,             0.07008
                   1,            0.055401,            0.035712,            0.016628,              0.6123,             0.49551,             0.46673,             0.21805,            0.042903,            0.049849,              0.0131,           0.0064381,           0.0064381,             0.03986
                   2,            0.050823,            0.034639,            0.013249,             0.62975,             0.51976,             0.57552,             0.30633,            0.040628,            0.049649,            0.010688,           0.0093317,           0.0093317,           0.0094206
                   3,            0.044932,            0.033488,            0.010599,             0.79946,             0.67132,             0.75417,               0.412,            0.036911,            0.047814,           0.0080584,             0.00901,             0.00901,             0.00901
                   4,            0.040586,            0.032167,           0.0086559,             0.73558,             0.75235,              0.7757,             0.44403,            0.033239,            0.046131,           0.0067848,             0.00901,             0.00901,             0.00901
                   5,            0.037768,            0.030936,           0.0071877,              0.8007,             0.79268,              0.8262,             0.48865,            0.031673,            0.044372,           0.0057464,             0.00868,             0.00868,             0.00868
                   6,            0.035964,            0.030306,           0.0064063,             0.90785,             0.74686,             0.83971,             0.52354,            0.029925,            0.043535,           0.0054319,             0.00835,             0.00835,             0.00835
                   7,            0.034872,            0.029247,           0.0057943,             0.86641,             0.80046,             0.86627,             0.52107,            0.029651,            0.042518,            0.004861,             0.00802,             0.00802,             0.00802
                   8,            0.033711,            0.029012,           0.0053189,             0.88917,             0.80914,             0.87899,             0.55111,            0.028812,            0.042048,           0.0046468,             0.00769,             0.00769,             0.00769
                   9,            0.032568,            0.028056,           0.0049111,             0.90364,               0.796,             0.88153,             0.55149,            0.028145,            0.041206,           0.0041514,             0.00736,             0.00736,             0.00736
                  10,            0.031643,            0.027495,           0.0045384,             0.90556,             0.81391,             0.89047,             0.57499,            0.028046,             0.04101,           0.0039422,             0.00703,             0.00703,             0.00703
                  11,            0.030878,            0.026907,           0.0042219,             0.89981,             0.82238,             0.89178,             0.58543,            0.027224,            0.039997,           0.0037148,              0.0067,              0.0067,              0.0067
                  12,             0.02985,             0.02649,           0.0040621,             0.89932,             0.83197,             0.89794,             0.61113,            0.026461,            0.039157,           0.0034721,             0.00637,             0.00637,             0.00637
                  13,            0.029293,            0.025801,           0.0037663,             0.89941,             0.83223,             0.89083,             0.60393,            0.026632,            0.039123,           0.0033863,             0.00604,             0.00604,             0.00604
                  14,            0.028854,            0.025008,           0.0036858,             0.91716,             0.84447,              0.9114,             0.61954,            0.026091,            0.038748,           0.0033132,             0.00571,             0.00571,             0.00571
                  15,            0.028282,            0.024856,           0.0035515,             0.91743,             0.84107,             0.90492,             0.62328,            0.026173,            0.038559,           0.0031753,             0.00538,             0.00538,             0.00538
                  16,            0.027487,            0.024845,           0.0033072,             0.92766,             0.85364,             0.91437,             0.62993,            0.025639,            0.038078,           0.0029749,             0.00505,             0.00505,             0.00505
                  17,            0.027334,            0.024088,           0.0032789,             0.92687,             0.85313,             0.91275,             0.63383,            0.025325,            0.037648,           0.0029857,             0.00472,             0.00472,             0.00472
                  18,            0.026549,            0.023809,           0.0032128,             0.92988,             0.86518,             0.91574,             0.63762,            0.025057,            0.037713,           0.0028427,             0.00439,             0.00439,             0.00439
                  19,            0.026133,            0.023387,           0.0029346,             0.92049,             0.86287,             0.92118,             0.65356,            0.024634,            0.037067,             0.00276,             0.00406,             0.00406,             0.00406
                  20,            0.025609,            0.022769,           0.0029504,             0.92094,             0.88246,             0.92411,             0.65651,             0.02452,            0.036816,           0.0026287,             0.00373,             0.00373,             0.00373
                  21,               0.025,            0.022395,           0.0027221,             0.94374,             0.86652,             0.92068,             0.65816,            0.024477,            0.037131,            0.002521,              0.0034,              0.0034,              0.0034
                  22,            0.024535,            0.021994,           0.0026077,               0.937,             0.87375,              0.9274,             0.66054,            0.024127,            0.036299,           0.0024209,             0.00307,             0.00307,             0.00307
                  23,            0.024129,             0.02189,            0.002476,             0.93797,             0.87693,             0.92343,                0.67,            0.023876,            0.036211,           0.0023911,             0.00274,             0.00274,             0.00274
                  24,            0.023772,            0.021476,           0.0024128,             0.93845,             0.88577,             0.93256,             0.67512,            0.023749,            0.036161,           0.0024107,             0.00241,             0.00241,             0.00241
                  25,            0.023366,            0.020962,           0.0023126,             0.95052,             0.87682,             0.92836,             0.67604,            0.023424,            0.035597,           0.0022241,             0.00208,             0.00208,             0.00208
                  26,            0.023041,            0.020946,           0.0023096,              0.9292,             0.88631,             0.92546,             0.67773,            0.023405,            0.035786,           0.0022587,             0.00175,             0.00175,             0.00175
                  27,             0.02265,              0.0204,           0.0022645,             0.94679,             0.87943,             0.92621,             0.68154,            0.023331,            0.036058,            0.002163,             0.00142,             0.00142,             0.00142
                  28,             0.02233,            0.020116,           0.0022643,             0.94014,             0.87856,             0.92696,             0.68773,             0.02294,            0.035495,           0.0021409,             0.00109,             0.00109,             0.00109
                  29,            0.022073,            0.020016,           0.0021451,             0.94495,             0.87849,               0.929,             0.69039,            0.022815,             0.03545,            0.002105,             0.00076,             0.00076,             0.00076
